date,general_cpi,food_beverages_cpi,clothing_cpi,housing_utilities_cpi,transport_cpi
2014-10-31,86.6684786116706,78.4651066820486,113.375517540553,98.3554837814994,73.6397327266031
2014-11-30,86.8229902966007,78.4092692040021,113.479269854985,98.8168914764538,73.5980953770081
2014-12-31,86.8503284500484,78.3086900289356,113.354649993204,98.7994074934512,73.8149949260325
2015-01-31,87.0245005381817,78.1555923088962,113.298910714199,99.5889425841697,73.8122971778216
2015-02-28,86.9151675822107,77.8201176914563,113.583330461146,99.7981413382614,73.8370683625539
2015-03-31,87.0480159209438,77.9363882833676,113.613288877993,100.011958121325,73.8886381024403
2015-04-30,87.0740916434707,78.1708212011548,113.649766505901,99.8255190060694,73.8878313794445
2015-05-31,87.2440825201378,78.2611727593789,113.829566667788,100.350788829238,74.0754487317909
2015-06-30,87.3134019236427,78.3043859627045,114.287907182152,100.100137551187,74.1346785461328
2015-07-31,87.3987587139849,78.2601204772921,114.635834623811,100.436222147061,74.2045655880475
2015-08-31,87.3531286403988,78.1193465933925,114.281598937293,100.499106308994,73.956277643814
2015-09-30,87.3947908591411,78.6144704287532,114.333918412159,100.181643545459,73.9134166497393
2015-10-31,87.560938491584,78.7678858144613,114.869388067811,100.617535376472,73.7319561946449
2015-11-30,87.6796415439437,78.0230972639333,114.96019750546,101.52753644443,73.711335188004
2015-12-31,87.7065570523648,78.2190406263838,114.752601696371,101.817488245607,73.5735956823765
2016-01-31,89.8591497534277,78.1258862225659,114.925145847659,108.176884063013,78.5304643378518
2016-02-29,89.959437235891,77.7119429734688,115.031001260785,109.147154987381,78.4902000175756
2016-03-31,89.9701626464581,77.2670709069988,114.41454345716,109.088220673683,78.6270701025493
2016-04-30,90.0527955010627,77.4082406862935,114.706571161436,109.454875328006,78.2392825490438
2016-05-31,89.9587799062551,76.9026470220667,114.273607520112,109.595441198425,78.0671482937321
2016-06-30,89.9447866005492,77.0714491049547,115.742991039503,109.735378252053,77.5485531280107
2016-07-31,90.0552972065885,77.0348942331372,115.424191546719,109.62711698855,78.1327768718084
2016-08-31,89.8773827006402,76.7372823034007,114.670929450215,109.675158784482,77.7102463768976
2016-09-30,89.9312627205556,77.1753657071498,115.025660007019,109.593562318566,77.5845678527646
2016-10-31,89.8412833171643,77.0017319098454,114.649123738612,109.371970420336,77.5335770493407
2016-11-30,89.5179652741657,76.5975872497488,114.090822523823,108.708641519839,77.6056627149584
2016-12-31,89.3021241965021,76.1077376028742,113.653171941766,108.712064301086,77.2279734864987
2017-01-31,89.229000962443,75.6067856013173,113.475903399732,108.611199416599,77.2702692266075
2017-02-28,89.3889381227214,76.201072026867,113.420641342452,108.540402988004,77.4018584465367
2017-03-31,89.2652370199514,76.3572719134532,113.106560384101,108.034367179868,77.3292943573804
2017-04-30,89.318882971073,76.7527228004272,113.498056846882,107.919057068341,77.4464809516485
2017-05-31,89.2864957894712,76.6169840516488,113.255110116473,107.987117928509,77.4803752488334
2017-06-30,89.2042962602512,76.3484915307307,113.559559850835,107.796407974915,77.3337718789979
2017-07-31,89.1842989718695,76.3484915307307,113.559559850835,107.701920076523,77.3337718789979
2017-08-31,89.0273325114693,76.3484915307307,113.559559850835,106.962387449241,77.3337718789979
2017-09-30,89.177122120525,76.5387552982106,111.855514858316,108.353788199973,77.0032052297838
2017-10-31,89.0106768029478,76.4390698357699,110.98279214092,108.077760364796,77.0598077576408
2017-11-30,88.5478452817561,75.9543122098413,110.045148984976,106.734540994707,76.9429996203931
2017-12-31,88.3616159402331,76.0029237205446,109.030233648592,106.053688544331,76.967460816724
2018-01-31,91.9620528466753,80.0086568097827,101.370532607421,108.123186542174,83.535920787726
2018-02-28,92.0004896345304,80.2722910686766,101.381532244072,108.032252051987,83.4197040886791
2018-03-31,91.8369261984879,79.995694162507,101.802422401219,107.531203419498,83.3987794030481
2018-04-30,91.6532944662567,80.2988130996196,101.168344412693,106.684747654976,83.1270750211295
2018-05-31,91.3345731069277,79.7932745486816,100.827283306867,105.939485236316,83.0307213854228
2018-06-30,91.3932009403464,80.3989771838361,101.473219578558,105.17238555926,83.1934795427785
2018-07-31,91.310582745814,81.1020357794032,101.028337165267,104.057583304906,83.1755486849188
