date,currency_outside_banks_mn_sar,demand_deposits_mn_sar,m1_mn_sar,time_savings_deposits_mn_sar,m2_mn_sar,other_quasi_money_mn_sar
2001-05-31,50372.91,126960.709,177333.619,89016.54000000001,266350.159,64574.532
2001-06-30,49272.039,128499.99900000001,177772.038,87349.837,265121.875,65311.32000000001
2001-07-31,47556.222,126228.18000000001,173784.402,87285.877,261070.27899999998,64143.05699999999
2001-08-31,46777.743,125966.908,172744.651,89171.34700000001,261915.99800000002,63794.685999999994
2001-09-30,46528.598,126528.20999999999,173056.808,87923.045,260979.853,66354.342
2001-10-31,46988.498,126173.107,173161.605,89398.12299999999,262559.728,68981.21900000001
2001-11-30,48501.356,130980.143,179481.499,88887.89600000001,268369.395,69045.69799999999
2001-12-31,49203.422999999995,130192.471,179395.894,91684.591,271080.485,68902.386
2002-01-31,49531.587999999996,131726.96,181258.54799999998,91545.372,272803.92,69068.01299999999
2002-02-28,51147.285,134273.886,185421.171,92712.47099999999,278133.642,70781.099
2002-03-31,49154.153000000006,138295.23200000002,187449.385,91195.462,278644.847,68831.692
2002-04-30,49622.882,142344.39800000002,191967.28000000003,89553.132,281520.412,69875.60800000001
2002-05-31,50191.24,144574.124,194765.364,89152.857,283918.221,70811.519
2002-06-30,49257.453,143514.352,192771.80500000002,88127.743,280899.548,69573.575
2002-07-31,48219.299,146040.27,194259.569,89910.14199999999,284169.711,71414.50899999999
2002-08-31,47079.877,145817.87900000002,192897.75600000002,90503.92000000001,283401.67600000004,72177.125
2002-09-30,46996.861,146193.767,193190.628,91472.29000000001,284662.918,76257.034
2002-10-31,49068.844999999994,148365.95,197434.795,101181.188,298615.983,78274.052
2002-11-30,54035.834,148490.264,202526.098,102186.386,304712.484,77609.513
2002-12-31,52329.208999999995,150009.862,202339.071,108028.195,310367.266,79841.29699999999
2003-01-31,54028.647,152144.224,206172.87099999998,108130.861,314303.73199999996,76700.76299999999
2003-02-28,54281.08,151700.161,205981.24099999998,108392.233,314373.474,79594.715
2003-03-31,55544.399000000005,156587.343,212131.742,106823.197,318954.939,79922.63
2003-04-30,55400.565,159402.688,214803.253,105375.97200000001,320179.225,78764.55799999999
2003-05-31,55365.182,161654.81199999998,217019.99399999998,105240.02,322260.01399999997,80204.668
2003-06-30,54889.519,162903.869,217793.388,104984.349,322777.737,80877.452
2003-07-31,53444.872,164635.27300000002,218080.14500000002,105498.84099999999,323578.98600000003,79701.98999999999
2003-08-31,51990.291,163138.393,215128.684,105419.57500000001,320548.259,81739.775
2003-09-30,52233.157,161965.869,214199.026,106422.194,320621.22000000003,81749.121
2003-10-31,53754.53,162650.828,216405.358,105697.427,322102.78500000003,80833.48700000001
2003-11-30,56737.519,161642.97900000002,218380.49800000002,108639.715,327020.213,79241.725
2003-12-31,55444.657999999996,167577.202,223021.86,113381.881,336403.741,80703.04099999998
2004-01-31,59046.94900000001,170312.72199999998,229359.67099999997,113806.80600000001,343166.47699999996,79167.16900000001
2004-02-29,56674.384,174769.76700000002,231444.151,113855.94399999999,345300.095,81876.65299999999
2004-03-31,56701.482,182165.55000000002,238867.032,111554.355,350421.387,84871.68200000002
2004-04-30,57333.404,185519.863,242853.26700000002,108859.399,351712.666,84259.001
2004-05-31,57019.231,183650.013,240669.244,109923.405,350592.649,86362.53200000002
2004-06-30,57072.653999999995,185576.957,242649.61099999998,115238.60800000001,357888.219,90001.97499999999
2004-07-31,55869.721000000005,190406.526,246276.24700000003,119773.764,366050.01100000006,85275.69
2004-08-31,54837.277,188878.624,243715.901,128526.63400000002,372242.53500000003,84215.35499999998
2004-09-30,56038.276000000005,187349.42899999997,243387.705,126068.24799999999,369455.953,87226.655
2004-10-31,58896.719000000005,182341.17200000002,241237.89100000003,125833.013,367070.90400000004,90015.87
2004-11-30,60121.921,201120.218,261242.139,144964.169,406206.30799999996,89382.841
2004-12-31,60133.143000000004,211170.238,271303.381,136672.88,407976.261,87691.664
2005-01-31,60634.231,209720.127,270354.358,135731.858,406086.216,91749.63399999999
2005-02-28,58388.24199999999,208933.434,267321.676,136739.837,404061.513,92183.53799999999
2005-03-31,58743.87299999999,217667.308,276411.181,142386.186,418797.36699999997,93172.008
2005-04-30,58721.596,220732.29400000002,279453.89,141937.26,421391.15,95835.45299999998
2005-05-31,59199.265,220251.576,279450.841,151991.51499999998,431442.356,94215.59400000001
2005-06-30,60156.39699999999,215973.956,276130.353,156873.64299999998,433003.996,97628.61899999999
2005-07-31,59322.51999999999,222965.288,282287.80799999996,150912.845,433200.65299999993,96270.072
2005-08-31,58726.537000000004,217416.18099999998,276142.718,155972.671,432115.38899999997,97072.285
2005-09-30,59591.729999999996,213561.856,273153.586,160908.929,434062.515,101347.70799999998
2005-10-31,66304.124,210094.906,276399.02999999997,163515.232,439914.262,99468.93
2005-11-30,63033.727,218400.90899999999,281434.636,162103.055,443537.691,101947.49500000001
2005-12-31,64288.038,219251.036,283539.074,165266.397,448805.471,104542.462
2006-01-31,62306.71099999999,217628.577,279935.288,174076.473,454011.761,101328.415
2006-02-28,61192.325000000004,225930.791,287123.116,177575.849,464698.96499999997,99274.08
2006-03-31,61031.89600000001,229288.842,290320.738,190142.288,480463.026,105070.66500000001
2006-04-30,61822.14200000001,230092.234,291914.376,192885.538,484799.914,102971.65899999999
2006-05-31,62605.535,234442.443,297047.978,191842.147,488890.125,99829.967
2006-06-30,63512.05099999999,237337.733,300849.784,190592.94300000003,491442.727,107359.815
2006-07-31,60918.002,228549.726,289467.728,200977.18699999998,490444.915,106641.915
2006-08-31,60573.168000000005,228420.031,288993.199,209375.37800000003,498368.57700000005,113226.474
2006-09-30,62071.74200000001,231575.05000000002,293646.792,212027.304,505674.096,117479.409
2006-10-31,65817.61399999999,226135.169,291952.783,214249.52400000003,506202.30700000003,112531.512
2006-11-30,64336.889,234169.661,298506.55,217353.46000000002,515860.01,117624.046
2006-12-31,69324.101,243417.69100000002,312741.792,226026.745,538768.537,121499.51599999999
2007-01-31,65309.84400000001,248227.86,313537.704,222623.798,536161.5020000001,121461.28800000003
2007-02-28,65231.681,251586.42,316818.101,230859.834,547677.935,107810.77900000001
2007-03-31,65067.91400000001,257599.53600000002,322667.45,238989.47499999998,561656.925,115764.157
2007-04-30,65658.782,265543.483,331202.265,240689.892,571892.157,120485.69899999998
2007-05-31,65858.096,263833.132,329691.228,249104.353,578795.581,115385.198
2007-06-30,67010.43999999999,266103.99199999997,333114.432,254543.11700000003,587657.549,121646.738
2007-07-31,66247.924,278710.06200000003,344957.98600000003,260701.89500000002,605659.881,120051.86600000001
2007-08-31,65599.206,273381.25299999997,338980.459,263204.272,602184.7309999999,124969.52700000002
2007-09-30,69103.571,284810.316,353913.887,264471.61199999996,618385.499,125748.121
2007-10-31,70074.234,286655.994,356730.228,273395.64800000004,630125.876,119651.172
2007-11-30,70871.211,298115.90099999995,368987.11199999996,278119.753,647106.865,123893.351
2007-12-31,72191.67300000001,311365.062,383556.735,283059.125,666615.86,123139.628
2008-01-31,71425.893,326768.10000000003,398193.993,290823.916,689017.909,126119.29199999999
2008-02-29,70803.61099999999,328321.967,399125.578,293010.708,692136.286,135216.259
2008-03-31,72398.341,339307.701,411706.042,294132.628,705838.67,128201.94299999998
2008-04-30,71433.827,336950.486,408384.31299999997,290815.061,699199.374,127010.413
2008-05-31,74433.64600000001,344438.369,418872.015,283979.234,702851.2490000001,141552.652
2008-06-30,77597.312,351553.161,429150.473,282775.48099999997,711925.9539999999,148770.566
2008-07-31,78577.605,349131.061,427708.66599999997,304354.993,732063.659,144986.36800000002
2008-08-31,76869.631,342308.19800000003,419177.829,318382.251,737560.0800000001,148210.725
2008-09-30,84326.015,333583.282,417909.297,326502.052,744411.349,144041.364
2008-10-31,81865.962,335781.25,417647.212,327910.38300000003,745557.595,155529.524
2008-11-30,83413.18,343191.819,426604.999,345952.037,772557.0360000001,146766.482
2008-12-31,83006.39199999999,342487.68200000003,425494.074,367623.877,793117.951,136006.62
2009-01-31,82917.594,353332.116,436249.70999999996,351728.075,787977.7849999999,140448.815
2009-02-28,83809.017,364553.366,448362.383,351318.998,799681.381,156907.97400000002
2009-03-31,82860.384,376934.74,459795.124,356403.372,816198.496,149402.193
2009-04-30,83248.03499999999,386767.004,470015.039,348358.23699999996,818373.276,159230.889
2009-05-31,84457.26500000001,387304.766,471762.031,344644.684,816406.7150000001,170440.627
2009-06-30,85458.739,390595.37100000004,476054.11000000004,348148.887,824202.997,177700.061
2009-07-31,85523.08099999999,403117.56600000005,488640.64700000006,347397.31299999997,836037.96,175352.758
2009-08-31,85550.091,403895.968,489446.059,335614.64999999997,825060.709,169663.857
2009-09-30,88568.808,404110.359,492679.167,330633.56200000003,823312.729,176612.482
2009-10-31,88059.306,407662.991,495722.29699999996,330418.114,826140.411,177763.05400000003
2009-11-30,93305.08600000001,412928.703,506233.789,342006.538,848240.327,174993.84200000003
2009-12-31,88395.351,433162.212,521557.56299999997,323377.029,844934.592,184009.18899999998
2010-01-31,88355.0640291,443336.925,531691.9890290999,307826.76,839518.7490290999,166051.108
2010-02-28,88599.21476958999,443182.14,531781.35476959,317763.165,849544.5197695899,160305.937
2010-03-31,89822.43005877998,452188.017,542010.44705878,313706.757,855717.20405878,154793.458
2010-04-30,91086.26590965,458302.83,549389.09590965,307590.187,856979.2829096499,145973.391
2010-05-31,90613.9336772,464995.531,555609.4646772,307982.457,863591.9216771999,148730.731
2010-06-30,92422.55834878,484505.481,576928.0393487801,304047.311,880975.35034878,154606.536
2010-07-31,91904.1046847,497230.186,589134.2906847,289681.345,878815.6356847,156004.709
2010-08-31,97559.36653572999,491562.36,589121.72653573,287163.555,876285.28153573,147140.177
2010-09-30,95465.63755183,495813.693,591279.33055183,298173.741,889453.07155183,161482.936
2010-10-31,95638.08847071,499532.86,595170.94847071,283585.237,878756.18547071,162082.669
2010-11-30,96379.09052180001,512708.348,609087.4385218,290399.6,899487.0385218,161790.37
2010-12-31,95519.84768499,530072.227,625592.07468499,298282.546,923874.62068499,156495.171
2011-01-31,99099.95424187,542902.193,642002.1472418699,297566.288,939568.4352418699,161771.141
2011-02-28,99753.89103918,544726.303,644480.19403918,299912.324,944392.51803918,166454.19
2011-03-31,106228.08105395001,583031.552,689259.63305395,304660.711,993920.34405395,168067.648
2011-04-30,112967.9779584,613916.645,726884.6229584,296322.201,1023206.8239584,168889.467
2011-05-31,114696.52434761998,612547.975,727244.49934762,300499.67,1027744.1693476199,164255.292
2011-06-30,116849.97777308001,604970.803,721820.78077308,307014.674,1028835.45477308,159467.777
2011-07-31,116963.42988398002,616560.891,733524.32088398,295960.397,1029484.71788398,163608.581
2011-08-31,129407.04417028002,613067.706,742474.75017028,292382.287,1034857.03717028,162664.111
2011-09-30,120705.09973213999,612790.84,733495.9397321399,299995.026,1033490.96573214,166612.51
2011-10-31,122947.20328307,621250.915,744198.11828307,298663.309,1042861.42728307,179059.683
2011-11-30,119627.93761890002,626976.003,746603.9406189,297492.666,1044096.6066189001,172026.426
2011-12-31,119901.52640616,642093.67,761995.19640616,316400.646,1078395.84240616,161149.603
2012-01-31,120969.50756768999,661492.014,782461.52156769,309211.597,1091673.11856769,168102.317
2012-02-29,122091.69677082999,669217.322,791309.01877083,317047.176,1108356.19477083,161460.002
2012-03-31,122692.86451341,678561.795,801254.6595134101,319556.021,1120810.6805134101,170088.435
2012-04-30,123204.86582632,687235.073,810439.93882632,305293.529,1115733.4678263199,181956.924
2012-05-31,124875.58801618998,685933.584,810809.17201619,309708.735,1120517.90701619,166621.903
2012-06-30,125605.75844218,687117.961,812723.71944218,318544.663,1131268.38244218,170178.301
2012-07-31,127633.29049745001,693063.336,820696.62649745,303386.081,1124082.70749745,172908.165
2012-08-31,133667.69820415,701350.291,835017.9892041499,297007.637,1132025.6262041498,175526.392
2012-09-30,130143.21903666,698201.767,828344.98603666,300923.005,1129267.99103666,197553.673
2012-10-31,137953.33452285998,714167.188,852120.52252286,330751.587,1182872.10952286,180646.043
2012-11-30,132376.77602932003,710579.399,842956.17502932,314186.729,1157142.90402932,185981.827
2012-12-31,133120.72828841,756555.345,889676.07328841,329679.868,1219355.94128841,188717.559
2013-01-31,134124.11492574,765249.714,899373.82892574,327859.154,1227232.98292574,184775.97
2013-02-28,135592.44892669,772142.877,907735.32592669,331047.675,1238783.00092669,175445.31
2013-03-31,135305.73502887,808247.642,943553.3770288699,317928.912,1261482.28902887,178863.262
2013-04-30,135487.64677633002,823729.547,959217.19377633,318919.72,1278136.91377633,189731.277
2013-05-31,138735.91858389002,824772.889,963508.8075838899,325711.779,1289220.58658389,195261.345
2013-06-30,138842.91246035,825888.203,964731.11546035,325796.545,1290527.6604603499,189017.723
2013-07-31,146148.12488792,835271.541,981419.66588792,317097.01,1298516.67588792,188662.601
2013-08-31,141525.01081425,835140.36,976665.37081425,320236.805,1296902.17581425,180798.576
2013-09-30,139043.20607018,827253.259,966296.4650701799,330677.602,1296974.0670701799,198533.05
2013-10-31,144223.84889860998,827058.373,971282.22189861,331415.298,1302697.51989861,196564.869
2013-11-30,144114.46470689002,851560.235,995674.69970689,335553.527,1331228.22670689,193680.918
2013-12-31,143140.03717765,860270.196,1003410.23317765,350266.485,1353676.7181776501,207393.726
2014-01-31,145451.81075886,897072.37,1042524.18075886,344855.221,1387379.4017588599,206168.455
2014-02-28,146169.96768985002,893602.514,1039772.48168985,351780.943,1391553.42468985,206691.73
2014-03-31,146656.71354123,917833.857,1064490.57054123,351479.77,1415970.34054123,218799.51
2014-04-30,149014.79712911003,939512.503,1088527.30012911,353021.334,1441548.63412911,210630.58
2014-05-31,152090.54968102998,939726.981,1091817.53068103,366001.427,1457818.95768103,201764.609
2014-06-30,151494.47654171,941006.028,1092500.50454171,365485.459,1457985.96354171,203460.84
2014-07-31,166626.88856399,938049.512,1104676.40056399,394660.433,1499336.83356399,205575.182
2014-08-31,155527.47552243999,947371.772,1102899.24752244,394967.461,1497866.70852244,194016.582
2014-09-30,158033.85283291,942800.619,1100834.4718329099,406374.752,1507209.22383291,190959.491
2014-10-31,154859.63543477998,943307.557,1098167.19243478,402207.407,1500374.59943478,216712.257
2014-11-30,152822.89132142,957102.384,1109925.27532142,398202.849,1508128.12432142,199995.456
2014-12-31,153750.14311176,991384.41,1145134.55311176,403419.45,1548554.00311176,193335.18
2015-01-31,156892.74767228003,988118.686,1145011.43367228,389441.858,1534453.29167228,179284.506
2015-02-28,169131.20754097,1043789.913,1212921.12054097,392864.867,1605785.98754097,176212.711
2015-03-31,166589.37775913,1053229.895,1219819.27275913,391880.197,1611699.46975913,187659.107
2015-04-30,169439.83703087003,1076095.304,1245535.14103087,367005.144,1612540.2850308698,196732.418
