date,sar_1m,sar_3m,sar_6m,sar_12m,usd_1m,usd_3m
2011-04-30,0.3570612,0.75,0.85,1.0506456,0.220060952380952,0.250619047619048
2011-05-31,0.353385185185185,0.733744814814815,0.832218888888889,1.03212592592593,0.197478095238095,0.230470952380952
2011-06-30,0.352884615384615,0.660793461538462,0.750673076923077,0.945144230769231,0.187164090909091,0.219239090909091
2011-07-31,0.342097692307692,0.612259615384615,0.682050769230769,0.880561538461539,0.186619047619048,0.218233333333333
2011-08-31,0.333529565217391,0.6,0.654000434782609,0.852837391304348,0.211590869565217,0.249712608695652
2011-09-30,0.3455328,0.6002,0.6509804,0.85082,0.230850454545455,0.284591363636364
2011-10-31,0.390055,0.664484615384615,0.701662307692308,0.897918846153846,0.243739047619048,0.318525238095238
2011-11-30,0.419313076923077,0.712188461538462,0.743389615384616,0.948437692307692,0.253646363636364,0.359379090909091
2011-12-31,0.475299230769231,0.749928461538462,0.804683076923077,1.01347653846154,0.284548636363636,0.409556818181818
2012-01-31,0.520568076923077,0.796548846153846,0.87076,1.04746692307692,0.282895238095238,0.414247619047619
2012-02-29,0.534827692307692,0.835221538461539,0.893125769230769,1.06090423076923,0.250023809523809,0.503240476190476
2012-03-31,0.563202307692308,0.865135,0.91727423076923,1.07799038461538,0.241852272727273,0.473288636363636
2012-04-30,0.583025384615385,0.888971923076923,0.948459615384615,1.09438576923077,0.239964285714286,0.347966666666667
2012-05-31,0.596466923076923,0.906346538461538,0.976539230769231,1.113395,0.238923913043478,0.34570652173913
2012-06-30,0.606730769230769,0.923293461538462,0.987307692307693,1.12129846153846,0.242869047619048,0.465802380952381
2012-07-31,0.608990384615385,0.944086923076923,0.997765,1.12992384615385,0.246461363636364,0.34025
2012-08-31,0.614966923076923,0.950456923076923,1.00389461538462,1.13590961538462,0.23769347826087,0.332978260869565
2012-09-30,0.628593461538462,0.955565384615385,1.00600653846154,1.14174115384615,0.2213375,0.3079875
2012-10-31,0.644352692307692,0.966226153846154,1.0082,1.13624576923077,0.213465217391304,0.271739130434783
2012-11-30,0.645265384615385,0.973653846153846,1.01129384615385,1.12980346153846,0.208886363636364,0.258136363636364
2012-12-31,0.663198076923077,0.990288461538462,1.01557692307692,1.12766846153846,0.210809523809524,0.309523809523809
2013-01-31,0.666151923076923,0.995673076923077,1.01802884615385,1.12859192307692,0.204972727272727,0.300227272727273
2013-02-28,0.646617307692308,0.982765384615385,1.01863,1.12384384615385,0.2013,0.290495
2013-03-31,0.622015925925926,0.949259259259259,0.977362962962963,1.07999111111111,0.20345,0.2819
2013-04-30,0.620215185185185,0.946134444444445,0.973760740740741,1.07745925925926,0.199533333333333,0.277142857142857
2013-05-31,0.634064230769231,0.965625384615384,1.00014423076923,1.10589038461538,0.196685714285714,0.274169047619048
2013-06-30,0.609906538461539,0.9628,0.961538461538462,1.05997115384615,0.193261904761905,0.260704761904762
2013-07-31,0.635906086956522,0.961652173913043,0.998706956521739,1.10251086956522,0.191513333333333,0.2678
2013-08-31,0.6425025,0.958133125,0.9955175,1.101953125,0.184094285714286,0.263395238095238
2013-09-30,0.653713,0.9548125,0.995659,1.1021875,0.180612857142857,0.253178571428571
2013-10-31,0.652451739130435,0.95745652173913,0.996989565217391,1.10153260869565,0.172840476190476,0.241747619047619
2013-11-30,0.6576615,0.958285,0.998154,1.10125,0.167295238095238,0.238245238095238
2013-12-31,0.580764230769231,0.846232692307692,0.882789230769231,0.974423076923077,0.16723,0.2438975
2014-01-31,0.554567307692308,0.95795,0.843894230769231,0.932259615384616,0.159909523809524,0.238307142857143
2014-02-28,0.6475,0.952102272727273,0.995965909090909,1.09715909090909,0.155105,0.2352025
2014-03-31,0.64875,0.951363636363637,0.996534090909091,1.09221590909091,0.154871428571429,0.234097619047619
2014-04-30,0.64875,0.951590909090909,0.9975,1.09096590909091,0.151785,0.227495
2014-05-31,0.64625,0.951607142857143,0.9975,1.09148809523809,0.150388095238095,0.21532380952381
2014-06-30,0.643806818181818,0.952045454545455,0.9975,1.09465909090909,0.152197619047619,0.230945238095238
2014-07-31,0.642638888888889,0.95,0.997430555555556,1.09493055555556,0.154242857142857,0.233680952380952
2014-08-31,0.642797619047619,0.947380952380952,0.996547619047619,1.09113095238095,0.155971428571429,0.22347619047619
2014-09-30,0.63548380952381,0.940357142857143,0.99503,1.09178571428571,0.154104545454545,0.234031818181818
2014-10-31,0.630892857142857,0.9211,0.982857142857143,1.08755952380952,0.153252173913044,0.231376086956522
2014-11-30,0.621011904761905,0.891488095238095,0.952619047619048,1.07255952380952,0.1548075,0.2328625
2014-12-31,0.6028,0.8622,0.9314,1.0372,0.163,0.2446
2015-01-31,0.5989,0.8564,0.9283,1.0298,0.1681,0.2543
